,title,content,time,like,comments,scrap
0,회계학원론 난이도가 어떤가요 ?,재경관리사 까지는 가지고 있는데 회계학원론 쉽게 가능할까요,2018-08-20 17:07:02,0,0,0
1,육군 행정병 출신 컴활필기 3일컷 가능하냐?,가능하냐?,2018-08-20 16:56:24,0,1,0
2,2학기 공부할사람 모집,나이 상관 x 전 학기 성적 상관 x 과 상관 x2018-2학기 개빡세게 공부할 사람 모집함화 목 각자 수업 끝난후에 밤 10시까지 공부참여후 빠질경우 벌금 회당 2000원 성적 떨어져서 장학금 짤릴까봐 빡공중에 자꾸 의욕이 떨어지는데 같이 할 사람 있으면 연락주시길 바랍니다,2018-08-20 16:35:35,0,8,0
3,경영대 과사 어디있나요?,경영대 과사가 1층에 있는 교학팀인가요? 둘의 차이가 뭔지 모르겟네..,2018-08-20 16:33:34,0,0,0
4,아니왜개강이냐고 왜 방학누가훔처감,이해가안되네진짜,2018-08-20 16:27:40,0,3,0
5,남성 옷 사이트 추천해줄사람??,혹시 괜찮은 사이트 추천해줄수있니??,2018-08-20 16:27:09,1,10,0
6,전산신청이라는거,전산신청만받는다는게 사인은 안받고 종정시로 수강신청하라는이야기지?,2018-08-20 16:26:00,0,4,0
7,1학년인데 9학점이네여 죽고싶은데,정정기간에 주울수있나요? 리얼자살각 살기싫다 왜살지,2018-08-20 16:25:19,0,6,0
8,풍물 동아리같은거 하면 취업 도움됨????,궁금 걍 취미생활인가,2018-08-20 16:04:20,2,7,0
9,솔직히 알바가면 여자한테 더 쉬운일 시키지않냐?,"같은 시급 받으면서 여자들은 접시닦이, 남자는 설거지 한다던데 이건 성차별아님?",2018-08-20 16:00:13,0,6,0
10,알바관두는데,8월까지 일하기로 계약서 작성했긴했는데일주일전에 그만둔다고 말했거든.법적으로 뭐 처벌받는거아니지? 걍 말 안하면 계약끝난거지?,2018-08-20 15:56:40,0,4,0
11,헐~언냐들 최근최근 하더니 이거 어떻게 해!! ㅜㅜ,무려 오늘이잖아!ㅜㅜ언냐들 범죄도 안저지르고사이트에 글도 안올리고다 과거 일이라며!ㅠㅠㅜ,2018-08-20 15:49:38,5,14,0
12,오프라인영어,"오프라인 영어 신청하려하는데 핸펀으로도 가능,?",2018-08-20 15:49:01,0,0,0
13,법인과세무회계 화목B <-> 관리회계 월수B 바꾸실 분 계신가요?,제가 세무회계 황규영교수님 갖고있습니다심호식교수님 관리회계랑 바꾸실 분 있으신가요?,2018-08-20 15:23:37,0,7,0
14,롤말고 이런종류 게임 뭐있음?,ㅇㅇ,2018-08-20 15:21:47,0,6,0
15,조형대 분들 화방에 화구통 파나요?,궁금합니다,2018-08-20 15:20:16,0,2,0
16,걸스캔두,애니팡,2018-08-20 15:19:50,0,1,0
17,등록금 29일까지 내는거에요??,학사일정에는 24일까지인게 왜 고지서에는 29일 까지인가요??언제까지 내는거죠ㅠㅜ,2018-08-20 15:05:34,0,2,0
18,페미 그렇게 무섭나,"남초커뮤에 강간문화, 성매매 혹은 성적대상화하는 것에 대해 고발하기만해도 후다닥 튀어나와서 아니예요 여자들도 나빠요 외치고있네ㅋㅋ 뭐가그렇게 찔리고 두려워서 그러는거야. 정상적인 남자는 보고 그래 그런일도 있지라고 생각하고 받아들인다.",2018-08-20 15:03:02,2,20,0
19,네? 2014년에 한 거 가지고 와서 유난이라고요?,그럼 이건 단기2018년이냐?ㅋㅋㅋㅋ,2018-08-20 14:57:45,3,50,0
20,또,그저 그랬던 방학이 끝나가네-,2018-08-20 14:51:29,0,0,0
21,예? 워마드 말고 다른 여초에선 성희롱을 안해요?ㅋㅋ,더 가져오려다 더러워서 안가져온다.,2018-08-20 14:48:27,6,15,0
22,갠적으로 전공책보다 강의를못하는교수는,강의를 안하는게 맞다고본다,2018-08-20 14:48:06,2,0,0
23,옷입는거 스트레스받는다,중고딩때부터 옷입을줄 몰라서 관심도 없고고딩때는 1년동안 같은바지만 계속입던적도 있는데졸업롤페때 친구가 옷좀 바꿔입으라고 적엇더라고대학가서는 옷도 사고 해야지 했는데뭔가 청바지에 반팔티 한장만 입고다니게 되고결국 입대하기전까지 2~3벌만 무한반복함..군대다닐때는 진짜 존나편했음 옷때문에 스트레스 안받아서근데 다시 복학하려니까 뭐입어야되는지 걱정댄다그냥 내가 남의눈치를 너무보는건가같은옷만 입고다니면 불쾌해보이고 그러냐?,2018-08-20 14:47:18,1,6,0
24,올해 갑자기 3-2수업이던게 2-2수업이 됐는데,전공 수업중에 3-2수업이여서 지금까지 못 듣고 있다가 올해 복학하면서 그 수업 신청하려고 하니까 갑자기 2-2수업이 된거임;;; 혹시나 해서 전체 수강신청때 시도해봤는데 그냥 시작부터 빨간불이였음..ㅋ과사에 물어봐도 인원 다차서 못 넣어준다 그러고 교수님께 메일 보내봤는데 그냥 진부한 복붙 답장만 왔음 한두푼 등록금도 아닌데 갑자기 학년 바꿔서 못듣는다고 생각하니까 개빡치는데 이런거 어디다 건의할 수 있는지 아는 사람....?,2018-08-20 14:39:46,0,1,0
25,장기알바 구라치고 한달하는거 좀 오바냐,월초에 장기할꺼에요~ 말하고2주있다가 아저 사정때문에 월말에 그만둬요 하면많이 또라이같아보일까,2018-08-20 14:28:29,0,6,0
26,지겨운 학교생활이 또 시작되겠다,난 그렇다 적어도 암울함,2018-08-20 14:27:15,0,1,0
27,아이폰 vs 갤럭시,지금 노트9살까 아이폰9 기다렸다가 그거 살까 고민중인데 둘중에 뭐가 나을까,2018-08-20 14:16:25,0,14,0
28,우리개강 언제야?,정확히몇일임?9/3?,2018-08-20 14:00:52,0,4,0
29,머니클립 추천점,10-20만원대,2018-08-20 13:50:25,0,5,0
30,체육학부 과사 어디임?,과사없고 교학팀사무실만 있는거?,2018-08-20 13:37:36,0,1,0
31,교내 취업센터 관련 설문조사 부탁드려요 사례도 있습니다!!,학교별 취업센터에 대한 인식과 만족도에 대한 조사를 위한거에요 ! 설문도 간단하고 성함은 물어보지 않으니까 편하게 해주세요 !! 참여해주신 분들에게 기프티콘도 드리니 많은 참여부탁드립니다 ~~ 설문조사 참여링크 : http://naver.me/5N7kfHiY,2018-08-20 13:36:38,0,0,0
32,심심한데 나랑 말싸움 뜰 븅신새끼 있냐,ㅈㄱㄴ,2018-08-20 13:22:00,0,17,0
33,법식 오늘 안하냐,ㅈㄱㄴ,2018-08-20 13:09:07,0,0,0
34,대학교1학년 여름방학은 마냥놀아도 괜찮았던걸까?,뭔가 자격증이라도 하나땄어야하나? 급 걱정이옴. 참고로 공대,2018-08-20 12:57:37,0,7,0
35,국문과 여러분,혹시 정선태 교수님 수업 퀴즈 몇 번인지 아세요..?,2018-08-20 12:53:02,0,10,0
36,기숙사 호실이동 이해안가서 질문드려요,24일에 호실이동 시작이잖아요? 만약에 제가 퇴실점검까지 받고 배정된 호실 가려는데 그 배정된 호실에 있는 분들이 퇴실점검을 받지 않으면 못들어 가는 건가요?,2018-08-20 12:47:41,0,3,0
37,이거 1학기 기숙사 거주자는,폐결핵진단서랑 등본 필ㅇ요없다는 말이죠??,2018-08-20 12:46:47,0,4,0
38,사회봉사1 같이 하실분 구해요!!,사회봉사1 같이 하실분 구해요!!혼자신청하신분 찾습니다 ㅠㅠ,2018-08-20 12:14:35,0,4,0
39,총학생회비 납부방법??,등록금이 400 총학비 1 이면401 한번에 입금하면 되는거죠??,2018-08-20 11:43:45,0,3,0
40,학생증 재발급,학생증  재발급받으려고 필요 서류를 출력하는데자꾸 글씨 몇개만 프린트되고 나머지부분은 하나도 안나와요ㅠㅠ 이거 어떻게 해결하는지 알려주실 천사분 구합니다ㅠㅠ 컴맹.....00,2018-08-20 11:35:15,0,4,0
41,20대 중반 백팩 추천좀,너무 비싼거 ㄴㄴ옷은 그냥 편하게 입고다니는편,2018-08-20 11:34:21,0,8,0
42,알바 관두기 2주전에,말하는건 그래도 괜찮죠?,2018-08-20 11:23:58,0,2,0
43,2000초로 ㄱㅊ은 차 추천좀,준중형이상으로,2018-08-20 11:21:24,0,11,0
44,학교에 말하면서 공부할만한데 있음?,ㅈㄱㄴ오픽따야해서,2018-08-20 11:11:14,0,4,0
45,뭐가나을까요?,시민사회와 정치 vs 소프트웨어혁명,2018-08-20 11:00:32,0,0,0
46,종강알리미 와쩌여 뿌우 ^3^~,종강알리미 와쩌여 뿌우 ^3^~종강알리미 와쩌여 뿌우 ^3^~종강알리미 와쩌여 뿌우 ^3^~종강알리미 와쩌여 뿌우 ^3^~종강알리미 와쩌여 뿌우 ^3^~종강알리미 와쩌여 뿌우 ^3^~종강알리미 와쩌여 뿌우 ^3^~종강알리미 와쩌여 뿌우 ^3^~종강알리미 와쩌여 뿌우 ^3^~종강알리미 와쩌여 뿌우 ^3^~종강알리미 와쩌여 뿌우 ^3^~종강까지 116일 남았네용~,2018-08-20 10:49:10,0,1,0
47,남은방학알차게 보내기,1.토익성적기다리기2.토스준비하기3.넥플릭스로영어공부하기4.자소서쓰기골라줭,2018-08-20 10:41:53,0,7,0
48,2학기때 장학금 받으면,일단 학자금 대출해서 등록금 납부하고 기다리면 장학금액수만큼 학교에서 돈 넣어줘요.?,2018-08-20 10:31:33,0,7,0
49,안희정 무죄판결,잘 몰라서 그런데 화내지말고 차근하게 안희정이 무죄판결 받은게 왜 문제인지 알려줘판사가 어련히 잘 생각하고 판결 내렸을텐데 왜 그걸 가지고 시위하면서 사법부를 압박하는건지 이해가 안 되서 그래,2018-08-20 10:31:07,0,5,0
50,타과전공 수강신청희망원 어디에서받나요?,교수님한테 메일로 허락받고 수강신청하는거우리 과사에서 받는건가요? 들으려는 과목 과사에서 받나요?저희과에선 거기과사에서받아서진행하라하고거기에선 우리과사에서 종이받아오라하고..(우리과사엔 그런종인 없다고하더라고요 방금 전화해보니까),2018-08-20 10:11:11,0,2,0
51,학교 근처에,뜀걸음 할만한 곳 없나요? 학교말구요!,2018-08-20 09:53:52,0,2,0
52,K-Push,"이거 나만안됨? 업데이트만 백만년걸려 ... ㅜㅠㅜㅠ 학교알림... 앱삭제하면 문자로 온다던데, 삭제해도 문자안오고ㅠㅜㅜㅜㅜ 내폰이 이상한가...",2018-08-20 09:37:14,0,4,0
53,정정기간,전공수업도 주을수 있나요..? 시간표 아직 미완성인데..,2018-08-20 09:28:54,0,4,0
54,8월27부터개강이면,월요일부터 수업있는 사람은 가야하잖아. 혹시 월요일부터인데 그 담주부터 시작하거나 그런건없지?,2018-08-20 09:12:48,0,5,0
55,오랜 찐따생활로 인한 고집쟁이화,내가 바로 그 케이스수틀리면 짜증 이빠이냄,2018-08-20 09:10:59,0,1,0
56,시간표,아직 시간표 못 완성한 사람 또 있지.?,2018-08-20 09:10:12,0,4,0
57,목특이,그렇게 꿀인가요??,2018-08-20 08:31:05,0,5,0
58,워메 시부랄,개강 1주남음;; is 리얼??,2018-08-20 08:17:02,0,2,0
59,"전자과 반도체공학 ㅊㅅㅈ, ㄱㄷㅎ교수님 신청하신분들ㅠ",어떤 교수님꺼 신청했는지랑 지금 몇명 신청했는지 알려주실수 있을까요?ㅜㅜ,2018-08-20 08:07:13,0,1,0
60,3대3미팅하실분있으신가욤,모두 21여자구 2명은 타대학이에요개강하고 3대3으로 미팅하실분 쪽지주세요~!!,2018-08-20 04:08:31,1,15,0
61,사동세도 정정기간에 자리남?,ㅈㄱㄴ,2018-08-20 04:00:47,0,1,0
62,일침충 훈수충 불편충 자랑충,다 지네 자존감이 낮고 인생이 미완성인데 인정하긴 싫으니까 무의식중에 남 깎아내리고 고치려들고 맘에 안들어하고 어떻게든 이기려고 기를 쓰는거ㅇㅇ 요즘 그런 사람들 많지... 소소한 것에서 행복을 찾으시고 남과 비교하지 말고 자기 자신을 돌아보면서 마음의 안정을 찾으시길 바랍니다.,2018-08-20 02:47:43,7,13,0
63,방학 평일에 프린트 가능한곳 있나요?,7호관에 가까울수록 좋아요.,2018-08-20 02:40:27,0,2,0
64,대탈출 스케일 개쩌네,ㅋ,2018-08-20 02:11:02,1,1,0
65,글로벌영어 챔프스터디 질문,이거 진단평가 시험날짜 정하는거땜에  로그인하려는데종정시 아디비번으로도 안되고 아디비번 학번으로 똑같이해도 안되는데이거 어찌 해결하죠..? 전화해봐야하나,2018-08-20 01:38:50,0,3,0
66,알바 한달하고 그만두는거 어캐생각하세요,ㅈㄱㄴ,2018-08-20 00:56:48,0,11,0
67,가구 연소득 일억정도 되면 취성패 신청불가?,ㅈㄱㄴ,2018-08-20 00:24:11,0,1,0
68,루우나라~ 그 상대느은! 맬퓨뤼어ㅓ언,"이시누 알라, 대드루이드여",2018-08-20 00:10:14,0,2,0
69,corep인가 이거 뉴스기사 겁나 뿌리던데,ㄹㅇ 취업에 도움되긴하냐?,2018-08-20 00:03:22,0,3,0
70,얘드라 학교근처에서 홍대가는거 버스 몇번이더라?,좀 예전에 가보고 안가봐서 가물가물하네 틀딱 구해줘라,2018-08-20 00:00:15,0,8,0
71,중국유학생새끼랑 키배뜨는데,중국여자 겨털 안깎아~ 겨털이랑 잘 만나했더니한국여자 페미니스트야~ 이러길래 패배를 인정했다,2018-08-19 23:43:45,7,14,0
72,거북이 노래듣는데,미치겟다 너무 신나,2018-08-19 23:36:38,0,17,0
73,국대근처 소곱창파는곳 ㅇㄷ?,성신여대가는거밖에 답없나...,2018-08-19 23:33:02,0,13,0
74,수강신청 정정기간,선배님들 정정기간에 핵교 많이 버려지나요!!?? 핵교를 못주워서요 ㅠㅠ,2018-08-19 23:21:23,0,3,0
75,하반기 경제 예상해본다 지적해줘,실업율은 공적자금을 많이 풀면 풀수록 해소된다 아마도 6월 7월 8월 등등 고용상황이 안좋을수록 값싸고 효과있는 60세부터 80세까지의 공공근로를 많이 늘려왔을꺼야그렇지만 경제가 그거보다 더 많이  망해버렸지 통계에도 30-40대는 고용이 줄었지만 60대이상부턴 실업이 줄었잖아(풀뽑기 쓰레기줍기 이런거 많이고용함)후반기에 soc사업대대적으로 할꺼다 토목 만큼 실업자 구제하는 특효약이 없거든재건축도 일부 풀어줄꺼라 생각하고 물론 노인들 공공근로는 더더더욱 늘려야겠지 그래서 안좋은 경제를 실업율을 떠받쳐야하니까내년도 마찮가지 soc사업 엄청늘일꺼고 공공일자리 공무원등등 세금 들어가는 곳은 다 활황이다고 보면돼단 기업체나 소상공인 중소기업은 더더욱 죽을꺼야 왜인지 알지 내년엔 최저시급이얼만지?근데 문제는승수효과 좋은 건설업 건드리면 효과는 빠르겠지만 부동산가격 상승은 기본인데 어쩌냐 충분한 공급으로 주택시장 안정시키기엔 시간이 걸리고 경제 살리자니 주택가격 잡겠다는 정책과는 상반되고,2018-08-19 23:16:01,1,4,0
76,1학년인데 3학년 과목 들어도 되나요?,2학년 과목은 들어봤는데,2018-08-19 23:12:08,0,13,0
77,택시에서 삼성페이 가능?,가아느응~?,2018-08-19 23:09:17,0,2,0
78,각자 본인이 해봤던 알바중에,꿀알바랑 헬알바 써봐바내가 지금 알바때문에 개힘든데 다른사람들은 어떤지 궁금하네,2018-08-19 23:05:41,0,47,0
79,곱창먹고싶다,같이 먹을 사람이 없다,2018-08-19 23:02:09,0,8,0
80,여기,닌텐도 스위치 갖고 있는 사람? 걍 궁금해서,2018-08-19 23:00:57,0,2,0
81,모두를 위한 페미니즘 후기 (2장까지,"성곡도서관 인기 도서 목록에 벨 훅스의 '모두를 위한 페미니즘'이란 책이 있길래 잠깐 읽어봤다.글쓴이에 따르면 페미니스트는 혁명적 페미니스트와 개혁주의 페미니스로 나뉜다.둘의 차이를 설명하자면, 혁명적 페미니스트란 남성위주의 가부장제로 구성된 현대 사회를 완전히 뒤엎고 ""여성""에 의한 평등사회를 구축하는것을 목표로 하는 집단이고, 극소수의 그룹만이 존재한다.개혁주의 페미니스트란 남성 위주의 사회에서 제도의 개혁을 통해 남여평등을 확립하는것을 목표로 하는 페미니스트를 통칭하며 페미니스트의 대다수를 차지하고 있다. 혁명적 페미니스트 즉 글쓴이(자신이 혁명적 페미니스트란 직접적 표현은 없었지만 문맥상)의 입장에서 바라보자면 개혁주의 페미니즘은 페미니즘을 이용하고 있다. 글쓴이는 개혁주의 페미니즘이 백인 남성, 가부장제, 기득권층에 빌붙어 여성을 이용, 그것을 남성으로부터의 해방, 자신의 계층 이동에 사용한다고 주장한다. 또한 그녀에 따르면 현대의 ""여성""은 이미 남성 가부장제 사회에 사회화되어 그들의 가치관을 답습하고 있다.따라서 ""혁명적 페미니스트""가 되기 위해서는 지배체계로서의 가부장제에 대해 필수적으로 학습해야 한다는 주장을 펼친다.여기까지가 2장까지의 내용 요약이고 나머지 내용이 궁금하다면 직접 빌려 읽어보길 권한다. 아이엠그루트",2018-08-19 22:55:25,0,6,0
82,맨큐랑 맨큐 핵심걍제학이랑,문제푸는 부분 다름? ㅇ.ㅇ,2018-08-19 22:43:31,0,5,0
83,정정기간때는,교양 어떻게 잡나요? 전공처럼 싸인해주심 ?,2018-08-19 22:40:10,0,3,0
84,재수 반수 도움되는거 적어봄,"1.카톡, 인스타,페북 다 끊는거 권장반수면 보통1학년인데 이때 1학년은 농담아니고 한창 대학생활 즐기고 놀 시간대인데 인스타 페북으로 그거 보고있으면 버티기 힘듬2.앵간하면 독서실 다니셈 쉬고싶어도 일단 독서실 가서 쉬셈 힘들다고 아예 안가버리면 그냥 하루 버리는거3.돈 여유되면 밥은 걍 사드셈 먹고싶은거 먹고ㅈ같은 재수생활 먹는걸로 스트레스 풀어야지4.진짜 자주 듣는 소리일텐데 같은 문제집을 여러게 풀어보셈다른 문제집10개푸는 것보다 같은거 5개 2번 푸는게 낫고 같은거3개 3번 푸는게 나음5 일찍가고 일찍끝내셈재수생이 공부 적당적당해도 최소 현역 공부량 2배임8시에 나가서 8시에만 들어와도 딴짓 많이 안했으면 공부 진짜 많이 한거임국민대생이 국민대 맘 안들어서 반수한다는 사람한테 충고하는게 어이없다면 할말은 없는데 어쨌든 써봄",2018-08-19 22:37:55,1,7,0
85,커플여행지 추천좀,서울에서 너무멀지만 않게 국내로..ㅠ 힐링이나 구경거리로 떼우는 위주면 좋겠음 액티비티가 아닌 힐,2018-08-19 22:34:02,0,28,0
86,태풍 오는날 펜션가는대 에반가?,취소해야하나;; 취소 수수료 붙는대,2018-08-19 22:26:33,0,4,0
87,막심센세 곧 출소하신다고 한다,한국에 왕진한번 와둿으면 좋겠다,2018-08-19 22:03:34,0,4,0
88,반수하시는분들,학기중에 공부 성곡도서관에서 하실건가요??ㅜㅜ,2018-08-19 21:56:06,0,6,0
89,방학동안 200벌었다,개꿀,2018-08-19 21:30:50,0,6,0
90,페미가 갓학문인이유,100명의 페미에겐 100개의 페미니즘이 있으니까 나도 페미요 하면 바로 한개 추가되잖어ㅋㅋㅋㅋㅋㅋㅋㅋ중국집에서 일인분이요 하는것보다 내가 갓페미니스트요 하는게 ㄹㅇ 개쉬운 부분이고맨날 한남 가성비충이라 놀리는 페미니스트분들 있는데페미니즘 자체가 가성비 오지는 학문이지 렬루다가..공부 못하는 넘들 있으면 블루오션이니까 잘 침투해봐라페미니즘 공부 했다하면 갓 페미니스트 분들에게 더이상 한남 소리 안듣고 존경의 눈빛 받는것도 씹가능하지투입 1도 안하고 공부 1도 안했지만 페미 선언하면 바로 남한테 공부하라고 훈장질도 가능하자너ㄷㄷ앞으로 국붕이들도 투입대비 산출 1도 없는 전공때려치우고페미니즘 공부해서 산출량만 극대화 할수 있는효율적인 갓임페리얼페미니스트가 되어보자구ㅎㅎ,2018-08-19 21:29:07,4,25,0
91,계절학기 얼마드냐,얼마듭니까,2018-08-19 21:28:18,0,5,0
92,미술의이해 유가은 교수님,미술의 이해 유가은 교수님꺼들어보신분 후기 좀 알려주세요ㅠㅠ원하는거 실패해서 찾아보다가 얼떨결에 넣긴 했는데 ...간단하게라도 부탁드립니다,2018-08-19 21:24:30,0,0,0
